$atleast,>d,$done_percent,<ep,$learning_curve,<np,$nprod,$optimism,$pomposity,$productivity_exp,$productivity_new,$r,$to,$ts,>dom
2.55,7.67,4.95,8.34,84.9,17.66,0.38,76.4,13.44,6.86,0.45,0,76.47,43.84,0.06
9.45,44.19,9.01,11.35,72.43,4.65,3.87,22.95,44.54,1.23,0.03,178.82,3.88,42.79,0.37
2.31,100,2.19,8.38,50.09,18.62,5.61,23.39,43.79,3.61,0.46,760.09,99.26,19.4,0.59
7.11,100,9.36,3.77,33.94,25.23,5.92,72.18,12.09,8.47,0.42,489.41,51.02,84.77,0.65
4.14,100,1.73,4.6,25.03,14.4,4.45,79.76,3.45,7.33,0.55,293.86,52.57,78.07,1
7.03,100,9.83,10.85,3.93,17.15,9.82,4.44,48.97,4.54,0.59,132.94,86.17,54.42,0.5
4.59,100,2.69,8.27,95.29,25.73,8.22,57.82,51.38,9.61,0.55,419.16,81.1,74.31,0.26
8.7,90,5.7,12.02,43.18,7.98,3.53,5.71,56.14,5.54,0.2,369.17,61.63,62.73,0.77
5.84,100,8.61,3.84,23.73,19.16,8.43,17.8,2.8,8.17,0.8,0,2.65,9.24,0.84
6.25,18.31,3.44,16.66,25.71,6.34,2.8,11.04,75.56,2.44,0.07,456.52,32.88,46.02,0
